ProductCode,Packaging_Qty,Product,Unit,Cost_Price,Selling_Price,Available_Qty
CF 13,1,CF 13 Style Color Fresh,Ltr,119.18,111.1,1
CF 13,10,CF 13 Style Color Fresh,Ltr,1049.02,977.9,1
CF 13,20,CF 13 Style Color Fresh,Ltr,2013.08,1876.6,1
CF 13,4,CF 13 Style Color Fresh,Ltr,447.22,416.9,1
CF 99,1,CF 99 Style Color Fresh,Ltr,113.28,105.6,1
CF 5,1,CF 5 Style Color Fresh,Ltr,148.68,138.6,1
CF 5,4,CF 5 Style Color Fresh,Ltr,559.32,521.4,1
CS White,1,CS White Style Color Smart,Ltr,162.84,151.8,1
CS White,10,CS White Style Color Smart,Ltr,1445.5,1347.5,1
CS White,20,CS White Style Color Smart,Ltr,2777.72,2589.4,1
CS White,4,CS White Style Color Smart,Ltr,614.78,573.1,1
CS 1,1,CS 1 Style Color Smart,Ltr,162.84,151.8,1
CS 1,10,CS 1 Style Color Smart,Ltr,1445.5,1347.5,1